customer_id,full_name,age,state,monthly_income,account_balance,phone_number,employment-type,account_type,previous_loans,marital_status,education_level,registration date,credit_score
CUS205,Daniel Okonkwo,56.0,Osun,269805,671092,08025409873,Private,Fixed Deposit,Many,D,Primary,2020-05-23,741.0
CUS213,Ngozi Garba,-5.0,Ana,"₦300,421",3585971,08085026138,Self-employed,Current,Several,Divorced,Masters,Invalid Date,633.0
CUS179,Tunde Adebayo,,Imo,358530,-790015,+2348079503224,Self-employed,Current,4,Divorced,Secondary,2016-03-03,326.0
CUS043,Kemi Emeka,150.0,Borno,342561,2995016,08058445635,Private,Student,1,Single,PhD,2021-05-08,339.0
CUS104,Janet Wale,61.0,Ebonyi,310274,2693310,0803-372-6348,Government,Current,4,Single,Primary,2023-07-20,328.0
CUS058,Nkem Osei,63.0,Borno,406799,4790801,08043177787,Government,Savings,2,Divorced,PhD,18/04/2024,329.0
CUS097,Janet Hassan,26.0,Imo,133532,1129691,0805-656-4666,Self-employed,Savings,0,Single,Secondary,2022-07-18,800.0
CUS051,Lawal Sani,67.0,  Imo  ,50653,1174707,,Private,Fixed Deposit,0,Married,Primary,2015-06-08,350.0
CUS116,Tunde Garba,200.0,Akwa Ibom,,4627505,08083663866,Student,Student,0,Widowed,Masters,2017/06/06,399.0
CUS200,Fatima Garba,49.0,KANO,426914,300150,08069889732,Student,Fixed Deposit,0,Married,Secondary,2021-08-22,351.0
CUS112,Ahmed Abubakar,51.0,kebbi,44369,204667,08011089865,Student,Fixed Deposit,Many,Widowed,Masters,2016-05-05,440.0
CUS041,Yemi Bello,80.0,Anambra,,670165,08075736711,Private,Savings,3,Divorced,Primary,2016-12-01,639.0
CUS192,Esther Okoro,33.0,Abuja,65491,427563,08042312384,Private,Student,0,Divorced,Masters,2020-02-14,624.0
CUS007,Patricia Emeka,30.0,Cross River,431482,83187306,08061794797,Government,Fixed Deposit,0,Divorced,Primary,2015/02/11,769.0
CUS047,  DANIEL wale  ,26.0,Abia,422592,157843,08055972523,Private,Savings,3,widowed,Primary,2016-05-19,802.0
CUS113,Felix Taiwo,55.0,Ebonyi,317290,731329,08092019634,Government,Savings,0,Widowed,University,2015-06-25,488.0
CUS095,Grace Nwosu,56.0,Kaduna,"₦474,662",316615,08077188509,Self-employed,Current,5,Divorced,PhD,2020-11-23,465.0
CUS201,Nkem Danjuma,41.0,plateau,"₦309,479",617789,08075788086,Self-employed,Savings,5,Married,PhD,2015-11-21,660.0
CUS128,Blessing Raji,23.0,Niger,342584,2662316,051247827,Self-employed,Savings,0,Married,University,,559.0
CUS060,Emeka Nwosu,33.0,Ebonyi,421839,2683189,08068885842,Student,Savings,0,Married,Secondary,2017-07-19,802.0
CUS135,Esther Mahmud,58.0,Ekiti,223294,4209523,08043107531,Private,Savings,4,Single,Masters,2022-11-15,845.0
CUS101,Esther Sani,41.0,Adamawa,471581,727026,08073021403,Private,Current,0,Married,Masters,2017-09-25,440.0
CUS182,Adebayo Bello,39.0,PLATEAU,182596,147147,08044935146,Retired,Student,0,Single,University,2023-07-30,741.0
CUS111,Queen Hassan,45.0,Kogi,83107,3162223,08067337164,Private,Fixed Deposit,3,Single,PhD,2018-09-06,687.0
CUS094,Queen Eze,50.0,Osun,488984,4603134,08040784033,Student,Current,0,Divorced,University,2023-04-09,809.0
CUS031,Chidi Bello,24.0,Gombe,429603,1361286,08078501165,public servant,Student,0,Married,PhD,2021-05-15,730.0
CUS207,Kingsley Abubakar,27.0,Cross River,148666,4414048,08013348967,Retired,Student,3,Single,Secondary,2021-02-17,748.0
CUS105,Lawal Ibr.,60.0,Ondo,477169,302118,+2348070290371,Self-employed,Fixed Deposit,5,Divorced,PhD,2024-10-11,378.0
CUS217,Lawal Sani,35.0,Abuja,148429,1566194,08061167439,Self-employed,Student,3,Divorced,PhD,2023-05-17,717.0
CUS187,Tunde Ibrahim,59.0,Benue,413031,3083856,08085466531,Student,Fixed Deposit,5,Divorced,Primary,2024-01-21,421.0
CUS169,Chidi Danjuma,30.0,So.KO.,145952,1239552,08061811873,Retired,Fixed Deposit,0,Single,University,2022-09-09,577.0
CUS057,Timothy Nnadi,57.0,Ogun,381255,1347656,08042522788,Government,Savings,3,Widowed,Masters,2024-07-26,543.0
CUS157,Daniel Okafor,44.0,Kano,69618,2124134,08030120523,Self-employed,Fixed Deposit,2,Divorced,Secondary,2021-01-01,391.0
CUS072,Uche Wale,63.0,Kebbi,405562,1809811,08042416423,Retired,Savings,4,Married,Masters,2018-10-04,737.0
CUS219,Felix Yakubu,64.0,Zamfara,156514,4635984,08013256612,Retired,Current,3,Widowed,PhD,2017-05-12,456.0
CUS198,Victor Johnson,52.0,Rivers,353938,2929796,08029126577,Government,Current,0,Divorced,Masters,2022-09-05,422.0
CUS568,Lawal Usman,63.0,Ekiti,41935,3189642,08047006195,Private,Savings,4,Widowed,Primary,2015-12-05,808.0
CUS005,Rasheed Sani,67.0,Yob,53205,1280513,08024902279,Student,Savings,0,Married,PhD,2015-10-03,521.0
CUS155,Ngozi Raji,78.0,Enugu,59862,307975,08045580530,Student,Current,1,Divorced,University,2015-11-03,687.0
CUS018,Nkem Danjuma,,Ondo,236210,4426158,08063872022,Retired,Student,0,S,PhD,Invalid Date,773.0
CUS230,Moses Qasim,25.0,Kwara,,4728639,08063823565,Private,Student,5,Single,Masters,2023-09-25,557.0
CUS172,Janet Danjuma,78.0,Ben,444426,4753503,08053502099,Student,Current,0,Married,University,2016-02-29,419.0
CUS178,Raymond Nwachukwu,200.0,Sokoto,306723,3736218,0803 185 1929,Student,Student,0,M,Masters,2024-10-25,799.0
CUS139,Chidi Ogbonna,79.0,Gombe,479449,4426792,099639079,Retired,Fixed Deposit,3,Divorced,University,2017-01-11,581.0
CUS132,Amara Yakubu,46.0,NASARAWA,491572,4610376,08093345680,Self-employed,Savings,0,Single,Secondary,2016-08-05,758.0
CUS070,Janet Nwachukwu,23.0,Ondo,,3970945,08078987698,Retired,Fixed Deposit,1,Widowed,PhD,Invalid Date,756.0
CUS134,Stella Sani,35.0,Ogun,270495,2255943,+2348054549331,Student,Current,Many,Married,PhD,2015-08-26,432.0
CUS142,Janet Yakubu,79.0,Kog,,2119652,08041329397,Self-employed,Current,3,Widowed,University,2021-11-08,812.0
,Adebayo Eze,20.0,Delta,39700,3250840,073945348,Government,Current,4,Married,PhD,2022-05-25,321.0
CUS221,Nkem Eze,72.0,Ondo,69739,4574716,0801-180-2262,Retired,Fixed Deposit,0,Single,PhD,2015-11-24,457.0
,Musa Johnson,300.0,Taraba,148195,1736679,08089075383,Retired,Savings,0,Not Married,University,19/04/2018,608.0
CUS003,Janet Igwe,33.0,Ondo,184351,2649549,0804-092-8414,Student,Fixed Deposit,1,Divorced,Secondary,2022-12-27,826.0
CUS102,Lydia Eze,77.0,Ebonyi,"₦278,498",650251,08074205238,Private,Current,1,Married,Secondary,2023-02-21,398.0
CUS140,Timothy Okafor,74.0,Kaduna,484288,4416736,8026992699,Government,Current,0,Married,Primary,2019-08-06,668.0
CUS002,Felix Nwosu,79.0,Abia,386129,2222496,08077912283,Self-employed,Student,2,Single,PhD,2020-02-20,742.0
CUS040,Yemi Musa,69.0,Borno,321679,2062971,08041014141,Retired,Savings,3,Married,University,,351.0
CUS025,Isaac Danjuma,31.0,Delta,266066,4855080,08015295354,Retired,Current,0,Widowed,University,2022-03-03,749.0
CUS085,Ngozi Okonkwo,34.0,Benue,280562,826906,08025506140,Private,Current,1,Widowed,University,18/06/2020,662.0
CUS195,  DANIEL yakubu  ,38.0,Enugu,210977,2203990,08076156330,Student,Fixed Deposit,0,Divorced,Secondary,2021-10-15,
CUS028,Raymond Okoro,68.0,niger,48488,4622521,093173603,Government,Fixed Deposit,2,Widowed,PhD,2017-03-16,477.0
CUS238,Olumide Bello,71.0,Kano,200476,738162,08099377765,Student,Savings,5,Single,University,2016-10-26,529.0
CUS004,Emeka Bel.,45.0,Kwara,90496,-911718,8036564085,Private,Current,2,single,Secondary,2022-07-04,456.0
CUS147,Ibrahim Nwachukwu,30.0,Anambra,83744,2345126,067008789,Self-employed,Current,0,Married,Masters,2022-08-21,791.0
CUS234,Musa Abubakar,69.0,Ekiti,170075,4991027,+2348024883116,Retired,Savings,2,Married,Primary,2021-05-28,343.0
,Ngozi Igwe,73.0,Za.MF.,449989,1066051,+2348012067326,Retired,Fixed Deposit,0,Single,PhD,2019-11-22,745.0
CUS099,Amara Yusuf,63.0,Kwara,91641,4432666,08015753207,Student,Fixed Deposit,4,Not Married,Primary,2016-02-12,512.0
CUS204,Daniel Igwe,55.0,Akwa Ibom,282831,4948884,0801 024 9926,Student,Fixed Deposit,None,Divorced,PhD,2023-03-06,696.0
CUS105,Lawal Ibrahim,60.0,Ondo,477169,302118,08070290371,Self-employed,Fixed Deposit,5,Divorced,PhD,2024-10-11,378.0
CUS174,Timothy Nnadi,44.0,Ekiti,253144,1406959,08083497552,Retired,Student,5,Divorced,Masters,2019-11-05,391.0
CUS011,Tunde Sani,39.0,Plateau,471082,2723456,08033975909,Self-employed,Student,1,Divorced,Secondary,2021-02-07,330.0
CUS168,Timothy Jibril,52.0,Anambra,175961,697215,08075319391,Student,Fixed Deposit,0,Widowed,Primary,2015-01-06,456.0
CUS162,Raymond Taiwo,63.0,Rivers,236696,4149887,08073638066,Private,Student,0,Married,University,2016-10-25,727.0
CUS129,Emeka Adeyemi,32.0,Enugu,186091,3452191,08064098759,Self-employed,Fixed Deposit,5,Divorced,Primary,2022-03-24,328.0
CUS017,,37.0,Taraba,182031,4950652,08015294802,Public,Student,1,Widowed,Primary,2022-09-11,525.0
CUS226,Musa Wale,,Rivers,350921,3838143,08020457568,Student,Fixed Deposit,1,Single,Masters,2016-08-11,-100.0
CUS107,  CHIDI johnson  ,62.0,Niger,248784,4803369,08059880074,Retired,Savings,3,Married,Secondary,20/12/2017,683.0
CUS100,Queen Musa,61.0,Na.SA.,183752,2420871,08048098313,Student,Fixed Deposit,0,Widowed,Primary,17-Oct-2015,325.0
CUS110,  OLUMIDE yusuf  ,69.0,Katsina,,3297996,08077270024,Student,Savings,5,Widowed,Primary,2020-07-18,407.0
CUS087,Emeka Okonkwo,19.0,Rivers,,91626034,08019042608,Retired,Fixed Deposit,4,Widowed,Secondary,2018-07-28,474.0
CUS026,Stella Eze,45.0,Rivers,248173,347087,,Retired,Fixed Deposit,2,Divorced,University,2023-12-01,638.0
CUS146,Emeka Adeyemi,40.0,Plateau,232546,3162719,0807 823 7648,Government,Fixed Deposit,1,Married,Masters,2015-07-13,1000.0
CUS054,Peace Eze,64.0,Imo,101800,2368031,08063962279,Retired,Fixed Deposit,1,Single,Masters,2021-05-30,547.0
CUS203,Peace Hassan,,Oyo,199918,586878,0802-246-0169,Student,Fixed Deposit,0,Divorced,Secondary,2018-02-01,786.0
CUS120,Peace Ibrahim,32.0,Borno,281077,4916908,08082317979,Private,Savings,0,Separated,Primary,2016-02-03,558.0
CUS078,Victor Nwachukwu,40.0,Ondo,193080,2068618,08031479929,Retired,Savings,4,Divorced,University,2019-02-13,304.0
CUS080,Ngozi Williams,34.0,Kwara,179197,-145655,08021229664,Retired,Fixed Deposit,0,DIVORCED,Secondary,2019-10-15,782.0
CUS141,  RASHEED garba  ,77.0,Delta,182199,2884839,08052499214,Government,Savings,3,Widowed,University,2015-11-11,818.0
CUS154,Rasheed Ogbonna,51.0,anambra,118882,3400633,08046583092,Student,Student,3,Divorced,Secondary,2019-09-24,822.0
CUS209,Kingsley Qasim,29.0,edo,488655,3196627,08087637150,Government,Current,0,Single,PhD,2023-03-21,415.0
CUS236,Janet Okoro,62.0,Kogi,433637,3262970,014123171,Self-employed,Fixed Deposit,0,Widowed,Primary,2016-09-27,833.0
CUS133,Ahmed Jibril,66.0,Katsina,231809,4102063,08069896833,Self-employed,Fixed Deposit,1,Single,PhD,2024-07-06,321.0
CUS160,Victor Taiwo,72.0,Bayelsa,329940,1885482,08092848647,Government,Student,0,Married,University,2024-08-22,467.0
CUS246,Musa Adeyemi,34.0,Borno,339029,4529107,0805-729-1107,Government,Savings,1,Widowed,PhD,2018-08-31,837.0
CUS121,Daniel Patel,74.0,Oyo,390383,3943817,08071557580,Student,Current,0,Widowed,University,2018-01-01,386.0
CUS191,Kingsley Usman,,Katsina,,-758998,08042083238,Retired,Student,0,Married,Secondary,2021-10-02,834.0
CUS241,Lydia Ogbonna,66.0,Borno,317743,3287948,,Government,Fixed Deposit,0,Widowed,Secondary,2018-08-21,584.0
CUS214,Olumide Yusuf,62.0,Benue,304742,1487640,08075670435,Government,Student,0,Divorced,University,2022-12-05,558.0
CUS124,Chidi Yakubu,42.0,Borno,316678,4318670,08032467324,Student,Student,3,Divorced,Masters,2023-03-13,
CUS079,Ola Abubakar,45.0,Bayelsa,496295,3469547,08052409043,Government,Current,0,Divorced,University,2017-02-09,796.0
CUS033,Peace Kalu,38.0,Enugu,224583,2367713,08031622350,Government,Fixed Deposit,0,Divorced,Secondary,,394.0
CUS193,Ibrahim Taiwo,62.0,  Niger  ,209854,4854759,08071415805,Student,Current,4,Divorced,Primary,2015-11-12,-100.0
CUS115,Patricia Hassan,52.0,Kwara,94339,2238748,08077082134,Government,Fixed Deposit,4,Widowed,University,2024-09-21,350.0
CUS020,Yemi Raji,28.0,Kogi,391506,814461,08056491626,Government,Current,0,Single,Secondary,2018-10-02,777.0
CUS239,,51.0,Kebbi,425115,4885536,08068159946,Retired,Student,0,Divorced,Primary,2022-05-10,319.0
CUS034,Tunde Nnadi,68.0,Lagos,444388,1911070,0806 267 3816,Private,Fixed Deposit,0,Widowed,Secondary,2018-09-14,349.0
CUS088,Timothy Williams,300.0,niger,404253,4651169,+2348056376295,Private,Current,5,Divorced,Masters,2016-10-23,616.0
CUS991,Isaac Jibril,37.0,Abia,286806,3477830,08043136611,Student,Savings,5,Divorced,Primary,2018-10-25,419.0
CUS180,Uche Adeyemi,70.0,Borno,298182,3491925,08082929321,Retired,Current,3,Single,Secondary,05-21-2020,374.0
CUS137,Stella Kalu,47.0,Anambra,35561,642009,08095580599,Private,Fixed Deposit,0,Single,Secondary,2019-06-11,707.0
CUS202,Blessing Adeyemi,49.0,Akwa Ibom,411312,1216823,08078047676,Self-employed,Savings,0,Married,University,2024-05-04,463.0
CUS150,Sarah Chioma,72.0,Kano,90812,3798578,08064622834,Retired,Savings,2,Married,University,2016-04-29,
CUS232,Sarah Osei,58.0,Bayelsa,,2912579,08034284552,Retired,Student,5,Single,Secondary,2018-03-07,763.0
CUS045,Musa Sani,33.0,JIGAWA,450933,1439153,0807-218-5655,Government,Student,0,Single,PhD,2018-06-07,762.0
CUS009,Uma Kalu,61.0,Gombe,475067,2043425,08065895013,Government,Student,0,Married,PhD,2023-07-13,837.0
CUS190,Daniel Nwachukwu,78.0,Imo,483859,1044386,08094873387,Government,Current,5,Single,Masters,2022-06-18,605.0
CUS086,Blessing Ibrahim,52.0,Kebbi,234400,2398190,08042550432,Government,Current,2,Widowed,Primary,2020-12-19,749.0
CUS184,Moses Adeyemi,41.0,Anambra,385952,1042190,08078677248,Government,Savings,0,Single,Masters,2022-06-01,
CUS055,Fatima Mahmud,27.0,Ekiti,187998,4503902,08087487454,Student,Fixed Deposit,0,Single,Primary,2018-06-08,337.0
CUS013,Moses Wale,76.0,Lagos,"₦385,060",3760851,08058474990,Retired,Current,0,Single,University,2017-04-12,503.0
CUS161,Isaac Taiwo,32.0,ABIA,368258,3874671,08092911609,Private,Student,4,Widowed,PhD,2018-09-28,790.0
CUS144,Rasheed Adeyemi,46.0,Kogi,175589,2085913,08083294756,Private,Current,Many,Divorced,Secondary,2022-06-19,357.0
CUS250,Sarah Hassan,80.0,Ondo,,4732139,08025081640,Self-employed,Savings,1,Married,Masters,2023-03-24,1000.0
CUS010,Rasheed Igwe,38.0,Edo,383863,2273210,08065195416,Government,Current,3,Married,PhD,2021-07-31,432.0
CUS165,Halima Sani,56.0,Kog,47929,282677,8098475431,Student,Fixed Deposit,2,Married,PhD,2022-12-21,441.0
CUS176,Amara Ogbonna,19.0,gombe,307248,3221776,08011966340,Private,Fixed Deposit,5,Not Married,University,2020-06-25,676.0
CUS024,Grace Adeyemi,52.0,Abia,100614,3765692,08088755292,Self-employed,Savings,0,Married,Primary,2016-12-26,780.0
CUS196,Stella Eze,60.0,Kaduna,99567,123482,08041607851,Self-employed,Current,0,Single,Primary,2023-01-29,669.0
CUS112,Ahmed Abubakar,51.0,kebbi,44369,204667,+2348011089865,Student,Fixed Deposit,Many,Widowed,Masters,2016-05-05,440.0
CUS211,Ibrahim Nwachukwu,37.0,Ekiti,385225,2463614,08031712170,Government,Student,4,Widowed,University,2022-07-13,831.0
,Timothy Nnadi,61.0,Plateau,193106,1055647,08067209189,Self-employed,Fixed Deposit,0,MARRIED,University,2021-01-20,493.0
CUS035,,44.0,Kano,296916,2793970,08064148733,Government,Current,5,W,University,2023-12-03,783.0
CUS037,Stella Abubakar,,Bayelsa,448817,4820941,08020435144,Student,Student,2,Single,University,2015-10-29,686.0
CUS149,Halima Ogbonna,42.0,Katsina,"₦491,329",4158702,08018128768,Private,Student,0,Single,University,2019-07-16,-100.0
CUS218,Blessing Williams,54.0,Kaduna,71975,3000396,08015212197,Self-employed,Fixed Deposit,4,Divorced,Primary,2023-05-19,1000.0
CUS038,Stella Jibril,19.0,Akwa Ibom,91866,945224,08041530609,Retired,Savings,0,Married,PhD,2022-05-26,458.0
CUS242,Yemi Nnadi,76.0,Bayelsa,174936,516423,08016018863,Self-employed,Student,0,Divorced,Primary,2024-06-29,332.0
CUS117,Stella Ogbonna,79.0,Sokoto,274344,3226447,08099141650,Private,Student,0,Widowed,PhD,22/05/2018,725.0
CUS151,Raymond Wale,49.0,Kebbi,435020,1785112,08087089277,Self-employed,Current,0,Widowed,Masters,2022-05-03,679.0
CUS016,Halima Okafor,19.0,  Katsina  ,136108,4696841,0803 139 9477,Student,Current,2,Widowed,University,2023-05-13,332.0
CUS198,Victor Joh.,52.0,Rivers,353938,2929796,08029126577,Government,Current,0,Divorced,Masters,2022-09-05,422.0
CUS061,Fatima Garba,41.0,Borno,248820,4855653,08013807063,Self-employed,Student,1,Divorced,Masters,2018-08-15,613.0
CUS103,Emeka Hassan,71.0,Katsina,246738,4420268,08045093899,Self-employed,Savings,0,Divorced,Secondary,2020-04-01,594.0
CUS240,Ahmed Sani,27.0,Ekiti,158162,837276,08013894241,Student,Student,2,Single,PhD,2023-02-23,500.0
CUS083,Victor Johnson,34.0,Borno,136192,1732986,08077628293,Retired,Fixed Deposit,2,Wed,PhD,,431.0
CUS092,Zainab Eze,68.0,Taraba,486882,3494391,08013918116,Government,Savings,0,Married,Secondary,2015-08-17,846.0
CUS066,Zainab Okafor,66.0,Taraba,,1970248,08086316098,Government,Current,1,Married,Masters,Invalid Date,568.0
CUS125,Kingsley Sani,40.0,Imo,279716,2395949,08032884458,Government,Current,2,Single,Primary,2016-10-23,818.0
CUS163,Tunde Danjuma,56.0,Edo,66929,1813722,015572858,Retired,Fixed Deposit,0,Married,PhD,2018-06-21,411.0
CUS158,Raymond Yusuf,53.0,Kano,374401,2822420,08023298410,Government,Fixed Deposit,5,widowed,Secondary,2016-08-19,-100.0
CUS012,Uche Mahmud,31.0,Benue,329735,4205226,08091594317,Self-employed,Current,0,Widowed,PhD,2017-04-04,711.0
